Date/Time,Source Lat,Source Lon
04/25/2014 00:14:00,40.667,-73.8713
04/25/2014 00:21:00,40.6482,-73.7831
04/25/2014 00:31:00,40.7648,-73.996
04/25/2014 00:37:00,40.74,-73.999
04/25/2014 00:44:00,40.7396,-74.0054
04/25/2014 00:49:00,40.7432,-73.9203
04/25/2014 01:01:00,40.7419,-74.0036
04/25/2014 01:10:00,40.7381,-74.004
04/25/2014 01:50:00,40.7187,-74.0027
04/25/2014 02:00:00,40.7406,-74.0044
04/25/2014 02:34:00,40.7611,-73.9988
04/25/2014 02:34:00,40.7028,-73.9336
04/25/2014 03:02:00,40.7557,-73.9976
04/25/2014 03:22:00,40.7826,-73.9847
04/25/2014 03:39:00,40.7342,-74.0033
04/25/2014 04:05:00,40.7682,-73.9843
04/25/2014 04:25:00,40.764,-73.9786
04/25/2014 05:32:00,40.7175,-74.0159
04/25/2014 05:39:00,40.7413,-73.9773
04/25/2014 05:44:00,40.6629,-73.9437
04/25/2014 05:50:00,40.7419,-74.0034
04/25/2014 05:52:00,40.7343,-73.9897
04/25/2014 06:00:00,40.645,-73.7819
04/25/2014 06:15:00,40.7754,-73.9782
04/25/2014 06:22:00,40.745,-73.9949
04/25/2014 06:23:00,40.6813,-73.9785
04/25/2014 06:37:00,40.8793,-73.9183
04/25/2014 06:43:00,40.734,-73.9986
04/25/2014 06:52:00,40.7542,-73.969
04/25/2014 06:58:00,40.7316,-74.0016
04/25/2014 06:58:00,40.7741,-73.8726
04/25/2014 07:00:00,40.7271,-73.984
04/25/2014 07:04:00,40.7248,-73.9989
04/25/2014 07:08:00,40.6218,-73.9675
04/25/2014 07:12:00,40.7211,-73.9426
04/25/2014 07:14:00,40.7367,-74.0045
04/25/2014 07:30:00,40.748,-74.0071
04/25/2014 07:35:00,40.7364,-73.9849
04/25/2014 07:36:00,40.6855,-74.0024
04/25/2014 07:40:00,40.7702,-73.9618
04/25/2014 07:41:00,40.7913,-73.9775
04/25/2014 07:49:00,40.736,-73.9768
04/25/2014 08:12:00,40.6461,-73.7767
04/25/2014 08:14:00,40.7486,-73.9881
04/25/2014 08:25:00,40.6444,-73.7835
04/25/2014 08:29:00,40.7796,-73.9534
04/25/2014 08:42:00,40.775,-73.9475
04/25/2014 08:48:00,40.8038,-73.9558
04/25/2014 09:03:00,40.7241,-74.0112
04/25/2014 09:08:00,40.7827,-73.9532
04/25/2014 09:09:00,40.8006,-73.9661
04/25/2014 09:14:00,40.6516,-73.9702
04/25/2014 09:16:00,40.774,-73.8718
04/25/2014 09:18:00,40.7461,-73.957
04/25/2014 09:51:00,40.6841,-73.9501
04/25/2014 09:53:00,40.7964,-73.9496
04/25/2014 09:54:00,40.7785,-73.9864
04/25/2014 09:56:00,40.6511,-73.9274
04/25/2014 10:07:00,40.7435,-73.9963
04/25/2014 10:08:00,40.7274,-73.9865
04/25/2014 10:19:00,40.7198,-73.9993
04/25/2014 10:29:00,40.7399,-73.9526
04/25/2014 10:31:00,40.7815,-73.9601
04/25/2014 10:33:00,40.7206,-73.9853
04/25/2014 10:58:00,40.753,-73.9892
04/25/2014 10:58:00,40.6678,-73.9618
04/25/2014 11:07:00,40.742,-73.9903
04/25/2014 11:11:00,40.6978,-73.968
04/25/2014 11:20:00,40.754,-73.9918
04/25/2014 11:21:00,40.7552,-73.9787
04/25/2014 11:24:00,40.7599,-73.9627
04/25/2014 11:51:00,40.7449,-73.9764
04/25/2014 11:53:00,40.7549,-73.9663
04/25/2014 12:02:00,40.7576,-73.974
04/25/2014 12:22:00,40.7575,-73.984
04/25/2014 12:22:00,40.7276,-74.0049
04/25/2014 12:24:00,40.7734,-73.9632
04/25/2014 12:26:00,40.7448,-73.9534
04/25/2014 12:34:00,40.7863,-73.7261
04/25/2014 12:34:00,40.7214,-74.0001
04/25/2014 12:35:00,40.75,-73.9912
04/25/2014 12:46:00,40.8428,-73.9422
04/25/2014 12:50:00,40.7638,-73.9758
04/25/2014 12:51:00,40.7751,-73.9596
04/25/2014 12:58:00,40.7368,-74.1684
04/25/2014 13:24:00,40.7583,-73.9727
04/25/2014 13:26:00,40.7615,-73.9751
