Date/Time,Source Lat,Source Lon,Dest Lat,Dest Lon
04/25/2014 00:00:00,40.6466,-73.7896,40.7603,-73.9794
04/25/2014 00:07:00,40.7155,-73.9933,40.7205,-73.9872
04/25/2014 00:08:00,40.7157,-74.0064,40.7064,-74.0167
04/25/2014 00:10:00,40.7523,-73.9953,40.7563,-73.9915
04/25/2014 00:14:00,40.7497,-73.9952,40.7455,-73.9841
04/25/2014 00:20:00,40.7298,-74.0092,40.7522,-73.9795
04/25/2014 00:20:00,40.7547,-73.9737,40.7347,-73.9944
04/25/2014 00:23:00,40.7369,-73.9898,40.7068,-73.9494
04/25/2014 00:24:00,40.7257,-73.9846,40.757,-74.0006
04/25/2014 00:25:00,40.7346,-74.0022,40.742,-74.004
04/25/2014 00:29:00,40.7554,-73.984,40.7236,-74.0059
04/25/2014 00:30:00,40.7261,-73.9917,40.7532,-73.993
04/25/2014 00:30:00,40.7157,-74.0063,40.7154,-74.0092
04/25/2014 00:32:00,40.7519,-73.9856,40.7602,-73.9714
04/25/2014 00:33:00,40.7203,-74.0011,40.6069,-73.9477
04/25/2014 00:35:00,40.7112,-74.006,40.7575,-73.9682
04/25/2014 00:37:00,40.7558,-73.9872,40.7226,-74.0072
04/25/2014 00:45:00,40.7188,-74.0087,40.716,-74.0047
04/25/2014 00:47:00,40.7357,-74.0016,40.7555,-73.9839
04/25/2014 00:48:00,40.7411,-73.9878,40.7652,-73.9617
04/25/2014 00:50:00,40.7704,-73.9623,40.7467,-74.0075
04/25/2014 00:51:00,40.7268,-73.9999,40.7756,-73.9901
04/25/2014 00:54:00,40.7562,-73.9873,40.643,-73.9795
04/25/2014 00:55:00,40.7455,-73.9032,40.7635,-73.9736
04/25/2014 00:57:00,40.7194,-73.9973,40.7713,-73.9474
04/25/2014 00:57:00,40.6818,-73.9502,40.7277,-73.95
04/25/2014 00:58:00,40.7354,-73.9748,40.7346,-73.9925
04/25/2014 00:58:00,40.7216,-73.9509,40.8753,-73.643
04/25/2014 01:00:00,40.7424,-74.0043,40.6415,-73.7888
04/25/2014 01:00:00,40.7515,-73.994,40.7547,-73.975
04/25/2014 01:05:00,40.7867,-73.9747,40.7429,-73.9806
04/25/2014 01:07:00,40.7403,-73.993,40.7338,-74.0016
04/25/2014 01:09:00,40.7227,-73.9942,40.774,-73.8717
04/25/2014 01:12:00,40.742,-74.0056,40.7163,-74.0093
04/25/2014 01:14:00,40.703,-74.0112,40.6444,-73.783
04/25/2014 01:16:00,40.7213,-73.9935,40.7694,-73.9834
04/25/2014 01:16:00,40.7221,-73.9834,40.7223,-73.9944
04/25/2014 01:20:00,40.7362,-74.0081,40.7574,-73.9777
04/25/2014 01:20:00,40.7436,-74.0034,40.6839,-73.9915
04/25/2014 01:23:00,40.729,-73.9873,40.7371,-73.9864
04/25/2014 01:27:00,40.7424,-74.0046,40.7263,-73.9917
04/25/2014 01:29:00,40.742,-74.0038,40.721,-73.9583
04/25/2014 01:32:00,40.7208,-73.9977,40.7504,-73.9913
04/25/2014 01:33:00,40.7593,-73.9732,40.7552,-73.9809
04/25/2014 01:36:00,40.7544,-73.9986,40.7799,-73.9745
04/25/2014 01:38:00,40.8224,-73.943,40.7821,-73.978
04/25/2014 01:39:00,40.7479,-74.0046,40.7597,-73.9819
04/25/2014 01:39:00,40.7479,-74.0046,40.7467,-73.9919
04/25/2014 01:44:00,40.7213,-73.9887,40.7273,-74.0072
04/25/2014 01:47:00,40.7499,-73.891,40.645,-73.7817
04/25/2014 01:52:00,40.764,-73.9785,40.7662,-73.964
04/25/2014 02:00:00,40.7632,-73.9724,40.7536,-73.9676
04/25/2014 02:08:00,40.7608,-73.9993,40.7628,-73.9832
04/25/2014 02:11:00,40.7394,-74.002,40.7245,-73.9975
04/25/2014 02:17:00,40.7623,-73.9972,40.7422,-73.9807
04/25/2014 02:19:00,40.7108,-74.0057,40.758,-73.9776
04/25/2014 02:21:00,40.676,-73.961,40.7402,-74.0058
04/25/2014 02:30:00,40.7222,-73.9589,40.7249,-73.999
04/25/2014 02:36:00,40.7628,-73.9716,40.7404,-73.9239
04/25/2014 02:37:00,40.7417,-73.9973,40.7751,-73.9635
04/25/2014 02:41:00,40.7167,-73.9619,40.7678,-73.9854
04/25/2014 02:43:00,40.7169,-73.9418,40.7698,-73.9587
04/25/2014 02:44:00,40.7386,-73.9738,40.7249,-73.9985
04/25/2014 02:47:00,40.7604,-73.9718,40.7468,-73.9444
04/25/2014 02:50:00,40.8189,-73.9284,40.7383,-73.9875
04/25/2014 02:51:00,40.6818,-73.9304,40.705,-74.0161
04/25/2014 02:55:00,40.7334,-74.0029,40.771,-73.866
04/25/2014 02:59:00,40.7649,-73.9962,40.7183,-73.9893
